sample_id,sampling_date,site,temperature,pH,conductivity,dissolved_oxygen,nitrate,phosphate,chlorophyll_a,Ca,Mg,Na,K,HCO3,Cl,SO4,water_quality_class
AQ-0000,2024-01-01,Lake_A,9.805013305840541,7.546612753250552,399.6299653872523,10.51441936416239,1.2416534601803642,0.32436573231615845,8.98494443130736,70.84564617973749,26.698240209655058,40.9123141684738,6.423954045982103,234.5805635885491,37.343198925979024,82.08078366457374,poor
AQ-0001,2024-01-08,Urban_Lake,20.809670127548884,7.7286217628211435,672.9818422492918,6.431421532151997,1.2150873292410542,0.1538305216310373,8.486609830116429,72.04935127107896,15.588837606485395,52.736113922530954,2.63704186414236,185.79144601214927,49.44755558217545,49.854682960479636,poor
AQ-0002,2024-01-15,River_A,4.902781370305171,8.18770078376807,954.8526463692592,11.67131119965763,1.396770163411872,0.03657842693765872,6.448941846583315,94.34433503964817,22.996681662372445,50.2603390991068,3.8674101688379876,245.98311598836625,42.947768646131365,86.80112510108489,good
AQ-0003,2024-01-22,Lake_B,12.99068982008535,7.698722125613735,422.5273281892238,9.50941303896063,0.8166471522082208,0.24220242685929064,8.757912154306041,41.84506055223416,18.48706706478891,9.329450462172566,3.750793183569642,222.09508629975375,67.2061176446707,55.477008796147715,poor
AQ-0004,2024-01-29,Lake_B,15.976518390630034,7.415082746124818,769.4503905373891,8.703882456973966,0.6280270422549794,0.010183774990261258,5.527454102550525,45.97990532229717,21.978890048721166,34.82561445162318,7.650293457749678,254.28346483191086,54.5855810044733,100.4252352592981,good
AQ-0005,2024-02-05,Urban_Lake,18.51733398815567,8.09782991952695,571.1136189485585,9.49936462115141,2.235722540332324,0.0350555636919894,7.7351975139914195,64.93877919627052,15.764211713350267,36.35348972456049,5.6605798912331835,272.8977959428951,30.946558844896252,93.43377911713844,moderate
AQ-0006,2024-02-12,Lake_A,19.26735947875713,7.792940397307726,610.5672185482741,7.5404805866522455,0.3804323140443548,0.08645936285097244,1.3369134789986479,72.1888624651884,17.752205812242085,20.47901427273029,4.5765323949112116,228.65895029956815,56.725964150978086,80.21793856653122,good
AQ-0007,2024-02-19,River_A,19.760083411199552,8.291090196398196,476.512926318955,9.599301696003941,,0.011764730969780455,3.9243207041204196,80.97135752193216,17.422505603505325,38.94183058232312,5.997438882139447,270.94235297863804,37.92952586859318,77.83019118185148,good
AQ-0008,2024-02-26,Lake_A,12.907649566509374,7.682455496749857,570.2674349678038,9.33162452968628,1.1852645323567297,,1.4771543755054832,78.15013357435717,13.819714425771064,50.487577724105066,0.7856153053406238,114.50659477950951,40.49904717209206,71.23741939150644,good
AQ-0009,2024-03-04,Lake_A,12.225889244012597,7.048988935725775,858.1085672280456,8.603815943031687,2.4107244861068278,0.17890392819780765,8.746426885861045,67.00480313255258,21.310407672908763,27.134321404094095,4.913732820718185,291.57035340622105,52.07964726139258,87.2134311252005,poor
AQ-0010,2024-03-11,River_A,20.147855287542924,6.98432836033945,717.2204740608408,7.906445187185364,0.8596776985431402,0.04423931850178127,5.3837944432650735,85.2475680121429,21.25124502789182,41.36400938689872,8.995028355609525,236.8777968351553,41.607283543508245,68.32599294968288,good
AQ-0011,2024-03-18,Urban_Lake,13.85217405071031,8.342917569504062,956.0377305657912,8.3879788062846,0.7754938061381976,0.1857857194200347,9.390009046984224,85.3925402409855,20.96777347452783,28.841765227035623,5.2646930128053455,268.50295100853316,59.607125612198416,79.2402576715181,poor
AQ-0012,2024-03-25,River_A,7.345882059972469,8.375649574352483,832.1997118380841,,1.133904628188763,0.4876977333788077,14.223551218115436,74.39275180653036,25.684828269588223,31.28087976320323,5.135826338338671,165.10559148213153,37.93136920032586,90.69481859735012,poor
AQ-0013,2024-04-01,Urban_Lake,8.200276715979117,7.519216354022829,691.934396080405,10.885711965025592,1.684265563764672,0.13100294374743623,7.755430316357048,84.51454844232893,25.246724006181516,52.77393634170035,6.096256759284392,182.6153553277599,39.95369481631228,64.88748221653938,moderate
AQ-0014,2024-04-08,River_A,9.483286283990331,7.427565705488806,958.8197582151752,10.699191399805198,,0.18319550227750558,6.468951412629388,75.54438842461768,16.12527655075432,32.57442179888175,6.791210486628691,226.56722323651485,39.46717838387458,63.9085306801675,moderate
AQ-0015,2024-04-15,Urban_Lake,17.982964464322585,8.25764993150899,691.9182188102501,7.779154255600585,2.6161628961220913,0.2486564497194686,10.806059127673919,64.70072065182251,19.865261592170892,42.62212489010625,1.0050666142202807,219.23329497981416,40.64669627138449,53.50142134695974,poor
AQ-0016,2024-04-22,River_A,15.854554416423392,7.10182944308043,762.5869404456967,9.622188002056818,2.688792095292635,,6.211621539231617,81.07161890700006,14.881996553708937,19.28781883939013,1.6353470364179463,232.73808646044952,62.28949022212157,55.839490569728895,moderate
AQ-0017,2024-04-29,Lake_A,19.14291212440661,7.197372841469877,575.6942706469665,8.960241597370995,1.1852189354050529,0.17969948694969304,7.579704556273552,73.4379705935228,18.11677658057278,56.6231756139488,5.420582582172293,268.8031822418485,56.17435181693394,42.088884394052954,poor
AQ-0018,2024-05-06,Urban_Lake,12.436484121980794,7.88949705761007,630.4008784379657,10.767988071810395,4.20167451159409,0.05903424395615898,10.580259109742443,72.01741800780833,15.001252754405677,44.02652446306499,3.5702468762049806,140.56508581137177,70.22927140215693,88.13691820227953,poor
AQ-0019,2024-05-13,Lake_B,15.951238146460286,7.422427694713185,520.7986622330226,9.211630076325788,1.3741510844573626,0.12318821625406984,5.845828311589758,91.14839643846446,26.100351545680255,36.17500157349738,7.624050524439829,263.8218582272789,77.47937465069032,107.56046175748988,moderate
AQ-0020,2024-05-20,River_A,18.75354236380402,7.5976951599759674,794.0254087564716,9.206679851085678,2.629887096163698,0.20213821402273607,10.808190661350636,40.138662328978874,19.818490751714815,43.75546509999895,4.369651220229552,220.37268594810672,34.60067858487958,100.6559209824655,poor
AQ-0021,2024-05-27,Lake_B,13.143920761678569,7.526450695663969,461.8053917034992,7.9587589152579294,1.651795383350149,0.03857304907643778,7.3814412694698674,53.5701057879256,16.90985435947789,23.9018057105219,1.1309385285737643,210.82981624939535,48.91544865525476,45.730479204722705,moderate
AQ-0022,2024-06-03,Lake_A,17.740651425344467,7.75190854695952,753.9356832525286,8.164577272387731,,0.002136173943632604,3.587738689126148,56.56808445713319,23.968092859281885,49.825307417526574,2.463972166312006,153.79981445267993,32.70939588363537,88.0473840880116,good
